PoNumber,Item No,Quantity,Vendor Challan No,Challan Date,Assesable Value,BED Value,SED Value,AED Value,ECS value,S&H E cess Value,S&H E cess Rate %,ECS Rate %,BED %,AED %,SED %,Sales Tax,Invoice amount,VAT amount,Currency,Form 31-Series No,Form 31 No,Invoice Number,Invoice Date,Vehicle Number,Packages,PackUnit,
2540131755,10,50,P00001,03.04.2017,112775,14097,0,0,0,0,0,0,12.5,0,0,0,143999.72,17127.72,INR,,,,,MH14 CP2472,,,
2540131762,10,60,P00002,03.04.2017,13551.6,1694,0,0,0,0,0,0,12.5,0,0,0,17303.76,2058.16,INR,,,,,MH14 CP2472,,,
2540131769,10,90,P00003,03.04.2017,25878.6,3235,0,0,0,0,0,0,12.5,0,0,0,33043.94,3930.34,INR,,,,,,,,
2510172330,10,40,P00004,03.04.2017,15199.6,1900,0,0,0,0,0,0,12.5,0,0,0,19408.05,2308.45,INR,,,,,MH14 CP2472,,,
2540131761,10,40,P00005,03.04.2017,29282.8,3660,0,0,0,0,0,0,12.5,0,0,0,37390.08,4447.28,INR,,,,,MH14 CP2472,,,
2540131765,10,50,P00012,03.04.2017,110943.5,13868,0,0,0,0,0,0,12.5,0,0,0,141661.05,16849.55,INR,,,,,,,,
2540131761,10,40,P00013,03.04.2017,29282.8,3660,0,0,0,0,0,0,12.5,0,0,0,37390.08,4447.28,INR,,,,,,,,
2540131761,10,10,P00014,03.04.2017,7320.7,915,0,0,0,0,0,0,12.5,0,0,0,9347.52,1111.82,INR,,,,,,,,
2540132379,10,14,P00018,04.04.2017,34908.3,4364,0,0,0,0,0,0,12.5,0,0,0,44574.06,5301.76,INR,,,,,MH14 CP2472,,,
2540131769,10,90,P00019,04.04.2017,25878.6,3235,0,0,0,0,0,0,12.5,0,0,0,33043.94,3930.34,INR,,,,,MH14 CP2472,,,
2540131762,10,60,P00020,04.04.2017,13551.6,1694,0,0,0,0,0,0,12.5,0,0,0,17303.76,2058.16,INR,,,,,MH14 CP2472,,,
2510172358,10,40,P00021,04.04.2017,8136.4,1017,0,0,0,0,0,0,12.5,0,0,0,10389.11,1235.71,INR,,,,,MH14 CP2472,,,
2510172351,10,40,P00022,04.04.2017,33637.6,4205,0,0,0,0,0,0,12.5,0,0,0,42951.35,5108.75,INR,,,,,MH14 CP2472,,,
2540131774,10,100,P00023,04.04.2017,29952,3744,0,0,0,0,0,0,12.5,0,0,0,38244.96,4548.96,INR,,,,,MH14 CP2472,,,
2510172365,10,100,P00024,04.04.2017,31474,3934,0,0,0,0,0,0,12.5,0,0,0,40188.08,4780.08,INR,,,,,MH14 CP2472,,,
2540131755,10,50,P00025,04.04.2017,112775,14097,0,0,0,0,0,0,12.5,0,0,0,143999.72,17127.72,INR,,,,,MH14 CP2472,,,
2540131761,10,10,P00026,04.04.2017,7320.7,915,0,0,0,0,0,0,12.5,0,0,0,9347.52,1111.82,INR,,,,,MH14 CP2472,,,
2540131755,10,50,P00027,04.04.2017,112775,14097,0,0,0,0,0,0,12.5,0,0,0,143999.72,17127.72,INR,,,,,MH14 CP2472,,,
2540131775,10,20,P00028,04.04.2017,14602,1825,0,0,0,0,0,0,12.5,0,0,0,18644.64,2217.64,INR,,,,,MH14 CP2472,,,
2510172330,10,20,P00029,04.04.2017,7599.8,950,0,0,0,0,0,0,12.5,0,0,0,9704.02,1154.22,INR,,,,,MH14 CP2472,,,
2540127048,10,20,P00030,04.04.2017,7598.6,950,0,0,0,0,0,0,12.5,0,0,0,9702.66,1154.06,INR,,,,,MH14 CP2472,,,
2540131762,10,30,P00031,04.04.2017,6775.8,847,0,0,0,0,0,0,12.5,0,0,0,8651.88,1029.08,INR,,,,,MH14 CP2472,,,
2510172359,10,15,P00032,04.04.2017,2656.05,332,0,0,0,0,0,0,12.5,0,0,0,3391.44,403.39,INR,,,,,MH14 CP2472,,,
2540131761,10,30,P00033,04.04.2017,21962.1,2745,0,0,0,0,0,0,12.5,0,0,0,28042.56,3335.46,INR,,,,,MH14 CP2472,,,
2540132379,10,14,P00034,04.04.2017,34908.3,4364,0,0,0,0,0,0,12.5,0,0,0,44574.06,5301.76,INR,,,,,MH14 CP2472,,,
2510172347,10,25,P00035,04.04.2017,2879.25,360,0,0,0,0,0,0,12.5,0,0,0,3676.55,437.3,INR,,,,,MH14 CP2472,,,
2540131765,10,75,P00036,04.04.2017,166415.25,20802,0,0,0,0,0,0,12.5,0,0,0,212491.58,25274.33,INR,,,,,MH14 CP2472,,,
2540131761,10,30,P00037,04.04.2017,21962.1,2745,0,0,0,0,0,0,12.5,0,0,0,28042.56,3335.46,INR,,,,,MH14 CP2472,,,
2540131761,10,10,P00038,04.04.2017,7320.7,915,0,0,0,0,0,0,12.5,0,0,0,9347.52,1111.82,INR,,,,,MH14 CP2472,,,
2540131761,10,10,P00039,04.04.2017,7320.7,915,0,0,0,0,0,0,12.5,0,0,0,9347.52,1111.82,INR,,,,,MH14 CP2472,,,
